Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
45,Yale University,3.24,Bachelors,Charlottesville,N/A,0,1,N/A,3,Data Scientist,03/19,07/21,Data Scientist,10/17,04/19,N/A,N/A,N/A
46,Harvard University,3.95,Bachelors,Charlottesville,F,0,1,0,1,Lawyer,06/19,08/21,N/A,N/A,N/A,N/A,N/A,N/A
47,Howard University,1.63,Bachelors,Boston,F,0,1,0,0,Senior SWE,11/20,10/21,Data Scientist,12/17,05/20,N/A,N/A,N/A
48,Harvard University,3.48,Bachelors,Providence,F,0,1,0,2,ML Engineer,03/18,01/21,Data Scientist,09/15,10/20,N/A,N/A,N/A
49,Providence University,2.56,Masters,Providence,M,0,1,0,3,Junior SWE,09/20,09/23,N/A,N/A,N/A,N/A,N/A,N/A
50,Yale University,2.12,Bachelors,Chicago,M,0,1,0,0,Senior SWE,08/17,01/23,Senior SWE,03/19,03/21,Lawyer,01/14,09/17
51,Brandeis University,1.37,Bachelors,Charlottesville,M,0,0,1,0,Junior SWE,12/19,01/23,Junior SWE,10/16,12/19,N/A,N/A,N/A
52,Yale University,3.21,Bachelors,Charlottesville,M,0,0,0,3,Lawyer,06/19,09/22,Lawyer,07/16,02/20,ML Engineer,07/17,08/19
53,Howard University,1.71,Bachelors,Los Angeles,N/A,0,1,0,2,ML Engineer,03/20,01/23,ML Engineer,12/18,02/20,Senior SWE,11/16,03/19
54,Brandeis University,2.11,Bachelors,Los Angeles,F,0,1,0,4,Junior SWE,02/17,11/23,N/A,N/A,N/A,N/A,N/A,N/A
55,Providence University,1.19,Bachelors,Miami,M,0,0,0,2,Data Scientist,04/17,02/22,N/A,N/A,N/A,N/A,N/A,N/A
56,Howard University,3.4,Bachelors,Los Angeles,M,1,1,0,3,Junior SWE,04/17,01/23,N/A,N/A,N/A,N/A,N/A,N/A
57,American University,3.3,Masters,New York City,M,1,1,0,4,Junior SWE,04/19,01/22,N/A,N/A,N/A,N/A,N/A,N/A
58,Harvard University,3.2,Bachelors,Miami,M,0,0,0,0,ML Engineer,05/19,06/23,N/A,N/A,N/A,N/A,N/A,N/A
59,Providence University,1.9,Bachelors,Waltham,F,0,0,0,2,ML Engineer,07/20,07/23,Data Scientist,06/19,04/19,Data Scientist,12/14,11/17
60,Harvard University,1.52,PhD,Charlottesville,M,0,1,0,2,Senior SWE,10/18,08/23,Lawyer,11/19,12/20,N/A,N/A,N/A
61,Fordham University,2.91,Masters,Chicago,F,0,1,0,4,Junior SWE,04/17,01/21,N/A,N/A,N/A,N/A,N/A,N/A
62,American University,2.49,Masters,Los Angeles,M,0,1,0,0,Junior SWE,10/17,11/21,Junior SWE,01/19,06/20,Junior SWE,11/17,03/19
63,American University,1.53,Bachelors,Chicago,M,0,0,0,2,ML Engineer,01/17,05/21,Data Scientist,03/15,11/20,N/A,N/A,N/A
64,Providence University,3.06,Bachelors,Los Angeles,F,0,0,0,4,Data Scientist,01/20,04/22,ML Engineer,05/16,07/19,N/A,N/A,N/A
65,American University,3.97,Bachelors,Los Angeles,F,1,1,0,2,ML Engineer,03/20,06/22,N/A,N/A,N/A,N/A,N/A,N/A
66,Brandeis University,3.24,Bachelors,Chicago,N/A,0,1,0,0,Data Scientist,11/20,09/21,ML Engineer,10/19,06/19,N/A,N/A,N/A
67,American University,3.22,Bachelors,Providence,F,N/A,1,0,0,ML Engineer,08/18,02/23,N/A,N/A,N/A,N/A,N/A,N/A
68,Harvard University,3.85,PhD,Providence,M,0,1,0,1,Lawyer,01/17,10/21,ML Engineer,07/16,08/20,N/A,N/A,N/A
69,Harvard University,1.61,Bachelors,Providence,M,0,0,0,4,Junior SWE,12/17,06/23,N/A,N/A,N/A,N/A,N/A,N/A
70,Howard University,2.7,Bachelors,New York City,F,0,1,0,3,Data Scientist,04/19,07/21,Lawyer,07/16,09/20,N/A,N/A,N/A
71,Harvard University,3.94,Bachelors,Providence,N/A,0,1,0,2,Lawyer,10/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A
72,Howard University,1.5,Bachelors,Los Angeles,F,0,1,0,0,Data Scientist,05/17,10/22,Junior SWE,08/18,12/19,N/A,N/A,N/A
73,Harvard University,3.1,Masters,Charlottesville,M,0,1,0,2,Senior SWE,06/17,10/22,Lawyer,08/18,06/19,N/A,N/A,N/A
74,Brandeis University,2.76,Bachelors,Boston,N/A,0,1,0,2,Senior SWE,10/19,03/21,N/A,N/A,N/A,N/A,N/A,N/A
75,Howard University,2.76,Masters,Chicago,M,0,1,1,3,Junior SWE,08/19,06/23,Lawyer,08/19,08/19,Lawyer,10/17,08/17
76,Yale University,3.09,PhD,Charlottesville,F,0,0,0,0,Lawyer,12/17,09/22,Data Scientist,12/15,01/21,N/A,N/A,N/A
77,Fordham University,3.79,Bachelors,Boston,N/A,0,1,0,1,Lawyer,03/20,07/23,N/A,N/A,N/A,N/A,N/A,N/A
78,Providence University,3.35,Bachelors,Charlottesville,M,0,0,0,4,Senior SWE,07/17,07/23,Junior SWE,09/18,02/21,N/A,N/A,N/A
79,Harvard University,1.17,PhD,New York City,N/A,0,1,0,2,Junior SWE,08/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A
80,American University,3.56,Masters,Boston,M,0,1,0,3,Senior SWE,10/17,08/23,Lawyer,12/18,11/19,N/A,N/A,N/A
81,Harvard University,1.68,Bachelors,Waltham,N/A,0,1,0,3,Lawyer,04/17,06/23,Lawyer,08/15,01/21,N/A,N/A,N/A
82,American University,2.13,PhD,Miami,M,0,0,0,4,Data Scientist,05/18,10/23,N/A,N/A,N/A,N/A,N/A,N/A
83,Fordham University,2.39,Bachelors,Providence,N/A,0,1,0,4,Lawyer,09/17,06/23,N/A,N/A,N/A,N/A,N/A,N/A
84,Fordham University,2.44,PhD,Waltham,M,0,1,0,0,Junior SWE,01/19,05/23,ML Engineer,06/15,08/21,N/A,N/A,N/A
85,Fordham University,2.31,Bachelors,New York City,F,0,1,0,2,Lawyer,09/19,05/22,N/A,N/A,N/A,N/A,N/A,N/A
86,American University,3.81,Bachelors,Charlottesville,F,0,1,0,2,ML Engineer,12/18,08/21,N/A,N/A,N/A,N/A,N/A,N/A
87,Harvard University,3.12,PhD,Los Angeles,F,0,0,1,4,Lawyer,08/19,08/23,N/A,N/A,N/A,N/A,N/A,N/A
88,Fordham University,2.89,Bachelors,Providence,M,0,0,0,1,ML Engineer,06/18,02/23,Senior SWE,03/19,06/21,N/A,N/A,N/A
89,Brandeis University,1.15,Bachelors,Waltham,F,0,1,0,2,Senior SWE,02/17,10/21,Lawyer,07/19,08/21,N/A,N/A,N/A
90,Howard University,3.71,Bachelors,Providence,M,1,1,0,3,ML Engineer,10/20,12/21,Lawyer,05/17,09/21,N/A,N/A,N/A
91,American University,3.73,PhD,Boston,F,0,1,N/A,4,Lawyer,03/20,12/22,Senior SWE,02/17,08/20,N/A,N/A,N/A
92,American University,3.34,Masters,Miami,M,0,1,0,2,Lawyer,04/17,05/22,Junior SWE,08/17,12/20,N/A,N/A,N/A
93,Harvard University,1.02,Masters,Providence,N/A,N/A,0,0,0,Lawyer,10/18,03/21,Senior SWE,02/16,04/19,N/A,N/A,N/A
94,American University,1.17,Bachelors,Charlottesville,M,0,0,0,4,Junior SWE,06/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A
95,American University,1.68,Masters,Charlottesville,M,0,1,0,3,Senior SWE,09/17,03/23,N/A,N/A,N/A,N/A,N/A,N/A
96,Fordham University,1.39,Bachelors,Chicago,M,0,1,0,0,ML Engineer,04/19,12/21,Lawyer,03/17,04/20,N/A,N/A,N/A
97,Harvard University,2.2,Bachelors,Chicago,M,1,1,0,4,Data Scientist,02/19,06/22,N/A,N/A,N/A,N/A,N/A,N/A
98,Fordham University,3.77,Masters,Providence,M,0,1,0,4,ML Engineer,10/17,03/23,N/A,N/A,N/A,N/A,N/A,N/A
99,Howard University,2.42,Bachelors,Boston,F,0,1,0,2,Lawyer,07/17,03/23,Lawyer,08/18,04/20,N/A,N/A,N/A
100,Howard University,1.04,Bachelors,Boston,F,0,1,0,0,Data Scientist,12/19,06/21,ML Engineer,07/18,09/19,N/A,N/A,N/A
101,Fordham University,1.85,Bachelors,Los Angeles,F,0,1,0,4,Data Scientist,04/18,04/21,Junior SWE,07/16,02/20,N/A,N/A,N/A
102,Howard University,1.13,Bachelors,New York City,F,0,1,0,3,ML Engineer,12/17,09/22,N/A,N/A,N/A,N/A,N/A,N/A
103,Harvard University,1.11,PhD,New York City,M,0,1,0,0,ML Engineer,11/19,03/23,Lawyer,08/19,12/19,N/A,N/A,N/A
104,Providence University,1.83,Bachelors,Waltham,F,0,1,0,2,ML Engineer,11/19,06/21,ML Engineer,08/19,04/19,N/A,N/A,N/A
105,Fordham University,1.83,Masters,New York City,M,0,0,0,1,ML Engineer,01/18,01/22,ML Engineer,03/15,07/21,N/A,N/A,N/A
106,Brandeis University,3.36,Bachelors,Miami,F,0,1,0,4,Senior SWE,06/20,07/23,N/A,N/A,N/A,N/A,N/A,N/A
107,Brandeis University,3.92,Bachelors,Boston,M,0,0,0,1,Junior SWE,09/19,10/23,N/A,N/A,N/A,N/A,N/A,N/A
108,American University,2.11,Bachelors,Los Angeles,M,0,1,0,4,Junior SWE,05/18,04/22,ML Engineer,06/16,10/20,N/A,N/A,N/A
109,Howard University,2.29,Masters,Chicago,M,1,0,1,2,ML Engineer,09/18,03/21,Junior SWE,11/19,02/20,N/A,N/A,N/A
110,Brandeis University,3.53,Masters,Charlottesville,F,1,0,0,2,Junior SWE,11/19,10/21,N/A,N/A,N/A,N/A,N/A,N/A
111,American University,1.8,PhD,New York City,M,0,1,N/A,2,ML Engineer,10/17,09/21,N/A,N/A,N/A,N/A,N/A,N/A
112,Providence University,1.47,Masters,Chicago,F,N/A,1,N/A,2,ML Engineer,11/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A
113,Harvard University,3.56,Bachelors,Chicago,M,0,0,0,0,ML Engineer,07/19,06/22,N/A,N/A,N/A,N/A,N/A,N/A
114,Harvard University,1.14,Masters,Providence,F,0,1,0,0,Senior SWE,02/19,09/22,Senior SWE,07/19,12/20,N/A,N/A,N/A
115,Harvard University,2.86,PhD,Miami,N/A,0,0,0,4,Lawyer,05/19,05/21,Data Scientist,02/17,09/19,ML Engineer,12/17,08/17
116,Brandeis University,2.69,Masters,Los Angeles,M,0,1,0,0,Junior SWE,02/19,08/23,N/A,N/A,N/A,N/A,N/A,N/A
117,Providence University,2.04,Bachelors,Miami,F,0,1,0,4,Junior SWE,10/17,10/22,Data Scientist,01/18,12/20,N/A,N/A,N/A
118,Brandeis University,1.95,Bachelors,Providence,N/A,N/A,1,0,0,Senior SWE,08/18,09/22,Junior SWE,05/15,01/20,Junior SWE,02/13,07/17
119,Howard University,3.32,Masters,Los Angeles,F,0,1,0,0,Senior SWE,01/19,11/23,ML Engineer,09/18,03/20,N/A,N/A,N/A
120,Brandeis University,1.26,Masters,Los Angeles,F,0,0,0,0,ML Engineer,01/20,10/22,Data Scientist,10/18,01/21,N/A,N/A,N/A
121,Providence University,1.71,Bachelors,Boston,F,0,1,0,3,ML Engineer,07/19,09/23,Data Scientist,04/17,05/19,N/A,N/A,N/A
122,Providence University,3.2,PhD,Miami,F,0,1,0,2,Lawyer,09/18,11/21,N/A,N/A,N/A,N/A,N/A,N/A
123,Howard University,2.64,PhD,Miami,M,0,1,0,3,Junior SWE,10/20,09/21,Data Scientist,11/17,01/19,N/A,N/A,N/A
124,Providence University,1.38,Bachelors,Boston,F,0,1,0,0,Senior SWE,06/17,07/22,Senior SWE,06/18,11/21,N/A,N/A,N/A
125,Providence University,3.65,PhD,Waltham,M,N/A,1,0,0,Lawyer,10/17,06/22,Senior SWE,07/19,06/19,N/A,N/A,N/A
126,Harvard University,2.18,Bachelors,Chicago,M,0,1,0,3,Junior SWE,05/18,08/21,N/A,N/A,N/A,N/A,N/A,N/A
127,Howard University,3.48,Bachelors,Providence,F,0,1,0,4,Lawyer,11/17,01/23,N/A,N/A,N/A,N/A,N/A,N/A
128,Yale University,3.36,Bachelors,Miami,M,0,1,0,2,Lawyer,06/19,02/21,Senior SWE,02/15,04/20,Lawyer,04/16,03/17
129,Yale University,2.87,Bachelors,Boston,M,1,1,0,4,ML Engineer,02/17,01/23,Data Scientist,07/18,11/20,Senior SWE,12/17,04/19
130,Providence University,2.48,Masters,Charlottesville,F,0,1,0,2,Lawyer,09/17,05/22,N/A,N/A,N/A,N/A,N/A,N/A
131,Yale University,3.94,Bachelors,Waltham,F,0,0,0,1,ML Engineer,02/18,01/23,Data Scientist,04/17,04/20,N/A,N/A,N/A
132,Yale University,1.43,Bachelors,Los Angeles,F,0,0,N/A,2,Junior SWE,09/19,05/22,N/A,N/A,N/A,N/A,N/A,N/A
133,Providence University,3.18,Bachelors,New York City,N/A,1,1,0,4,Junior SWE,06/20,11/23,N/A,N/A,N/A,N/A,N/A,N/A
134,Yale University,1.57,Bachelors,Charlottesville,F,N/A,1,0,2,ML Engineer,02/20,12/21,Senior SWE,07/18,06/20,N/A,N/A,N/A
135,Brandeis University,2.01,Bachelors,Boston,M,0,1,N/A,1,Data Scientist,09/17,11/23,N/A,N/A,N/A,N/A,N/A,N/A
136,American University,1.93,Masters,New York City,M,0,1,0,1,Lawyer,03/19,03/21,Lawyer,05/19,05/19,N/A,N/A,N/A
137,Howard University,3.84,Bachelors,Chicago,F,0,1,0,0,Junior SWE,02/17,12/22,Data Scientist,05/19,03/19,N/A,N/A,N/A
138,American University,3.9,PhD,Providence,M,N/A,0,0,1,Lawyer,03/18,04/22,Lawyer,08/17,03/20,N/A,N/A,N/A
139,Providence University,1.55,Masters,New York City,F,0,1,0,3,Data Scientist,02/20,05/23,N/A,N/A,N/A,N/A,N/A,N/A
140,Harvard University,1.07,Bachelors,Waltham,F,0,0,1,4,Lawyer,10/18,04/23,Senior SWE,04/18,06/21,Data Scientist,09/15,05/17
141,Howard University,3.16,PhD,Chicago,M,0,1,0,3,Data Scientist,08/17,05/23,Lawyer,09/15,08/20,N/A,N/A,N/A
142,Providence University,2.25,Bachelors,New York City,N/A,0,1,0,3,Senior SWE,09/18,04/21,Junior SWE,06/17,08/21,N/A,N/A,N/A
143,Harvard University,1.27,Bachelors,Los Angeles,F,0,0,0,4,Data Scientist,10/17,05/23,N/A,N/A,N/A,N/A,N/A,N/A
144,American University,3.05,Bachelors,Los Angeles,F,0,1,0,3,Junior SWE,07/18,08/21,Lawyer,11/17,10/19,Data Scientist,02/18,04/17
145,Providence University,2.64,Bachelors,Waltham,N/A,0,1,0,3,ML Engineer,11/18,01/21,Data Scientist,07/16,07/19,N/A,N/A,N/A
146,Howard University,3.94,Bachelors,Los Angeles,F,N/A,1,0,3,ML Engineer,05/18,08/21,N/A,N/A,N/A,N/A,N/A,N/A
147,Howard University,1.68,Masters,Los Angeles,M,0,1,0,1,Lawyer,09/20,05/22,N/A,N/A,N/A,N/A,N/A,N/A
148,Fordham University,2.21,Bachelors,Boston,F,0,1,0,4,Senior SWE,03/19,03/23,N/A,N/A,N/A,N/A,N/A,N/A
149,Brandeis University,2.63,Masters,Los Angeles,F,0,1,0,4,Lawyer,04/20,08/21,Lawyer,04/16,09/20,N/A,N/A,N/A
150,Yale University,3.38,Bachelors,Charlottesville,F,0,1,0,4,Data Scientist,12/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A
151,Harvard University,2.65,Masters,Los Angeles,F,0,1,0,3,ML Engineer,08/19,11/22,ML Engineer,03/17,07/19,Junior SWE,07/15,12/18
152,Fordham University,2.84,Bachelors,Charlottesville,F,0,0,0,1,Data Scientist,12/18,11/23,Senior SWE,05/15,04/21,N/A,N/A,N/A
153,Yale University,1.68,Bachelors,Boston,M,0,1,0,4,ML Engineer,01/17,10/22,N/A,N/A,N/A,N/A,N/A,N/A
154,Yale University,3.54,Bachelors,Los Angeles,F,0,1,0,2,ML Engineer,05/19,01/23,N/A,N/A,N/A,N/A,N/A,N/A
155,Providence University,2.29,Bachelors,Waltham,F,0,1,0,4,ML Engineer,05/18,08/22,N/A,N/A,N/A,N/A,N/A,N/A
156,Yale University,1.42,Bachelors,Chicago,M,0,1,0,0,Junior SWE,06/17,04/23,N/A,N/A,N/A,N/A,N/A,N/A
157,Brandeis University,2.99,Masters,Waltham,M,1,1,0,2,Data Scientist,09/18,11/23,N/A,N/A,N/A,N/A,N/A,N/A
158,Howard University,1.65,Bachelors,Chicago,N/A,0,1,0,4,Lawyer,11/19,08/22,Junior SWE,08/17,12/20,N/A,N/A,N/A
159,Fordham University,1.29,Masters,Miami,F,0,1,0,3,Senior SWE,10/20,03/22,N/A,N/A,N/A,N/A,N/A,N/A
160,Yale University,3.59,Masters,Chicago,F,0,1,0,4,Lawyer,06/18,07/23,Data Scientist,04/19,05/19,N/A,N/A,N/A
161,Providence University,2.38,PhD,Providence,F,0,1,1,1,Data Scientist,02/19,10/23,N/A,N/A,N/A,N/A,N/A,N/A
162,Brandeis University,3.25,Bachelors,Providence,F,N/A,0,0,1,Senior SWE,05/20,05/21,Data Scientist,03/16,09/21,N/A,N/A,N/A
163,American University,1.87,Bachelors,Providence,F,N/A,1,1,4,Lawyer,04/18,09/22,Data Scientist,10/15,03/20,N/A,N/A,N/A
164,Howard University,3.36,PhD,Boston,F,N/A,1,0,3,Senior SWE,07/17,04/23,N/A,N/A,N/A,N/A,N/A,N/A
165,Howard University,1.34,Masters,Waltham,M,0,1,0,3,Data Scientist,02/18,07/22,ML Engineer,04/19,12/20,N/A,N/A,N/A
166,Fordham University,2.07,Bachelors,Chicago,F,0,1,1,3,ML Engineer,07/20,03/22,N/A,N/A,N/A,N/A,N/A,N/A
167,Howard University,3.93,Bachelors,Waltham,F,0,0,0,4,Data Scientist,08/17,11/22,N/A,N/A,N/A,N/A,N/A,N/A
168,Yale University,3.38,Bachelors,Charlottesville,F,0,1,0,4,Junior SWE,04/18,10/21,Lawyer,02/17,08/21,N/A,N/A,N/A
169,Providence University,2.49,Bachelors,Providence,F,0,0,0,0,Senior SWE,10/18,01/22,N/A,N/A,N/A,N/A,N/A,N/A
170,Howard University,2.02,Masters,Miami,F,N/A,1,0,1,Data Scientist,04/20,11/23,N/A,N/A,N/A,N/A,N/A,N/A
171,Howard University,3.62,Bachelors,Boston,M,0,1,0,2,ML Engineer,09/20,11/22,N/A,N/A,N/A,N/A,N/A,N/A
172,American University,2.63,Bachelors,Miami,M,0,0,0,2,ML Engineer,09/18,07/23,N/A,N/A,N/A,N/A,N/A,N/A
173,American University,3.28,Bachelors,Chicago,M,0,1,0,1,Data Scientist,08/20,05/23,Lawyer,02/19,05/20,N/A,N/A,N/A
174,Harvard University,3.26,Bachelors,Los Angeles,M,N/A,0,0,0,Lawyer,08/17,11/22,ML Engineer,03/17,12/20,N/A,N/A,N/A
175,Brandeis University,1.05,Masters,Miami,N/A,0,1,0,1,Data Scientist,08/17,06/23,ML Engineer,09/16,03/21,N/A,N/A,N/A
176,Yale University,1.38,Masters,Los Angeles,M,0,1,0,0,ML Engineer,09/20,11/21,Lawyer,04/18,05/20,N/A,N/A,N/A
177,Howard University,2.98,Bachelors,Boston,M,0,1,0,0,Data Scientist,12/18,11/22,N/A,N/A,N/A,N/A,N/A,N/A
178,Howard University,1.48,PhD,Miami,F,0,1,0,3,Junior SWE,09/17,09/22,Senior SWE,06/15,09/21,Senior SWE,10/15,05/17
179,Providence University,1.77,Bachelors,Miami,F,1,1,0,1,Lawyer,11/18,10/22,N/A,N/A,N/A,N/A,N/A,N/A
180,Harvard University,3.84,Bachelors,New York City,M,0,1,0,2,Data Scientist,01/20,06/21,N/A,N/A,N/A,N/A,N/A,N/A
181,Brandeis University,2.68,Bachelors,Boston,F,0,1,0,4,ML Engineer,03/20,10/21,Data Scientist,11/16,11/19,N/A,N/A,N/A
182,Harvard University,3.25,Bachelors,Boston,F,1,1,0,4,Data Scientist,05/20,11/21,Junior SWE,04/19,07/19,N/A,N/A,N/A
183,Fordham University,2.67,Bachelors,Providence,M,0,1,0,1,Data Scientist,03/19,10/22,N/A,N/A,N/A,N/A,N/A,N/A
184,Brandeis University,2.66,Bachelors,Chicago,M,N/A,0,0,4,Senior SWE,05/20,11/23,N/A,N/A,N/A,N/A,N/A,N/A
185,Howard University,1.28,Masters,Miami,N/A,0,1,0,0,Data Scientist,12/18,10/23,N/A,N/A,N/A,N/A,N/A,N/A
186,Howard University,2.03,Bachelors,Waltham,F,0,1,0,4,Junior SWE,05/19,08/21,Data Scientist,11/18,05/19,N/A,N/A,N/A
187,Brandeis University,1.85,Masters,Miami,F,0,1,0,0,ML Engineer,12/19,11/21,Junior SWE,08/17,04/19,ML Engineer,02/16,08/19
188,Howard University,2.17,Bachelors,Charlottesville,M,1,0,0,0,Senior SWE,09/18,02/21,N/A,N/A,N/A,N/A,N/A,N/A
189,Yale University,3.4,PhD,Boston,M,0,1,0,2,Data Scientist,04/17,03/22,Data Scientist,03/17,05/20,N/A,N/A,N/A
190,Brandeis University,2.12,Masters,Waltham,F,0,1,0,4,Lawyer,05/18,06/23,N/A,N/A,N/A,N/A,N/A,N/A
